nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
2;8;0.07702;0.01516;0.09218;173.6
3;8;0.06964;0.14139;0.21102;113.7
4;8;0.10425;0.39413;0.49837;64.2
5;8;0.09664;0.45063;0.54727;73.1
6;8;0.08133;0.47185;0.55319;86.8
7;8;0.09740;1.14038;1.23778;45.2
8;8;0.09065;0.78163;0.87228;73.4
1;9;0.00695;0.00975;0.01670;539.0
2;9;0.09379;0.12068;0.21447;83.9
3;9;0.07282;0.23630;0.30912;87.3
4;9;0.08990;0.31226;0.40216;89.5
5;9;0.15805;0.47672;0.63477;70.9
6;9;0.10074;0.56366;0.66440;81.3
7;9;0.12331;0.84426;0.96757;65.1
8;9;0.22931;0.97864;1.20795;59.6
1;10;0.22514;0.01200;0.23715;42.2
2;10;0.07677;0.15787;0.23463;85.2
3;10;0.10309;0.45222;0.55531;54.0
4;10;0.09526;0.58634;0.68160;58.7
5;10;0.12427;0.86439;0.98866;50.6
6;10;0.11347;1.04711;1.16058;51.7
7;10;0.09625;1.42824;1.52448;45.9
8;10;0.07709;1.42422;1.50131;53.3
1;11;0.05978;0.00827;0.06805;161.7
2;11;0.08694;0.11860;0.20554;107.0
3;11;0.16717;0.32294;0.49011;67.3
4;11;0.07420;0.42377;0.49797;88.4
5;11;0.10737;0.70608;0.81345;67.6
6;11;0.11372;0.81290;0.92661;71.2
7;11;0.11730;1.02308;1.14038;67.5
8;11;0.09384;1.57278;1.66662;52.8
1;12;0.05520;0.00916;0.06436;186.5
2;12;0.08293;0.13017;0.21309;112.6
3;12;0.07421;0.33870;0.41291;87.2
4;12;0.11892;0.49546;0.61437;78.1
5;12;0.13981;1.06712;1.20693;49.7
6;12;0.16318;1.49763;1.66081;43.4
7;12;0.08951;1.13868;1.22820;68.4
8;12;0.08332;1.30750;1.39082;69.0
1;13;0.06130;0.00901;0.07031;184.9
2;13;0.07274;0.16411;0.23685;109.8
3;13;0.08374;0.36719;0.45093;86.5
4;13;0.07311;0.52549;0.59859;86.9
5;13;0.15454;1.16556;1.32010;49.2
6;13;0.12661;1.02196;1.14857;67.9
7;13;0.20093;1.51184;1.71276;53.1
8;13;0.07455;1.68330;1.75784;59.2
1;14;0.11720;0.01286;0.13006;107.6
2;14;0.10603;0.31850;0.42453;66.0
3;14;0.19477;0.69030;0.88507;47.5
4;14;0.07324;0.54365;0.61689;90.8
5;14;0.10746;0.96960;1.07707;65.0
6;14;0.11139;1.28290;1.39429;60.2
7;14;0.07527;1.17877;1.25404;78.1
8;14;0.17139;1.55223;1.72362;65.0
1;15;0.10338;0.04786;0.15124;99.2
2;15;0.08567;0.20433;0.29000;103.4
3;15;0.15894;0.51316;0.67209;67.0
4;15;0.08031;0.61807;0.69838;85.9
5;15;0.12047;0.91495;1.03542;72.4
6;15;0.14376;1.74046;1.88422;47.8
7;15;0.32354;2.18350;2.50704;41.9
8;15;0.14197;2.27533;2.41730;49.6
1;16;0.14749;0.01993;0.16742;95.6
2;16;0.10856;0.22428;0.33284;96.1
3;16;0.07550;0.50409;0.57959;82.8
4;16;0.12719;0.86514;0.99233;64.5
5;16;0.10313;1.11767;1.22080;65.5
6;16;0.14347;1.77002;1.91349;50.2
7;16;0.14289;2.13372;2.27661;49.2
8;16;0.12776;2.45230;2.58006;49.6
1;1;0.00030;0.00117;0.00147;681.1
2;1;0.00096;0.00254;0.00349;572.5
3;1;0.00080;0.00183;0.00264;1138.3
4;1;0.00090;0.00285;0.00376;1064.7
5;1;0.00115;0.00337;0.00452;1105.3
6;1;0.00134;0.00380;0.00514;1166.6
7;1;0.00274;0.00476;0.00750;933.1
8;1;0.00207;0.00478;0.00685;1167.6
1;2;0.00051;0.00146;0.00197;1015.2
2;2;0.00131;0.00290;0.00421;949.3
3;2;0.00115;0.00393;0.00508;1182.1
4;2;0.00150;0.00538;0.00688;1162.7
5;2;0.00181;0.00556;0.00737;1357.4
6;2;0.00249;0.00856;0.01104;1086.5
7;2;0.00281;0.01138;0.01419;986.8
8;2;0.00365;0.01009;0.01374;1164.7
1;3;0.00088;0.00213;0.00302;993.7
2;3;0.00141;0.00399;0.00540;1111.3
3;3;0.00491;0.00604;0.01095;821.9
4;3;0.00224;0.00875;0.01099;1091.6
5;3;0.00308;0.00978;0.01286;1166.6
6;3;0.04091;0.01202;0.05293;340.1
7;3;0.00340;0.01525;0.01865;1126.2
8;3;0.00484;0.02149;0.02633;911.4
1;4;0.00115;0.00284;0.00399;1002.7
2;4;0.00189;0.00562;0.00751;1065.7
3;4;0.04561;0.00904;0.05465;219.6
4;4;0.00312;0.00990;0.01302;1229.0
5;4;0.00460;0.00679;0.01139;1756.2
6;4;0.00354;0.01916;0.02270;1057.2
7;4;0.00445;0.01890;0.02335;1199.2
8;4;0.02939;0.02267;0.05207;614.6
1;5;0.00138;0.00332;0.00470;1063.6
2;5;0.06389;0.00655;0.07045;142.0
3;5;0.16438;0.04245;0.20682;72.5
4;5;0.15348;0.15511;0.30859;64.8
5;5;0.00437;0.01174;0.01611;1551.5
6;5;0.05790;0.02012;0.07802;384.5
7;5;0.00591;0.02618;0.03209;1090.6
8;5;0.00674;0.02372;0.03046;1313.2
1;6;0.00170;0.00384;0.00554;1082.9
2;6;0.00294;0.00813;0.01108;1083.2
3;6;0.00271;0.01173;0.01444;1246.2
4;6;0.07547;0.11900;0.19447;123.4
5;6;0.00464;0.01499;0.01963;1527.9
6;6;0.00598;0.02570;0.03168;1136.5
7;6;0.00658;0.02943;0.03600;1166.6
8;6;0.00700;0.03092;0.03792;1265.8
1;7;0.00193;0.00416;0.00609;1149.2
2;7;0.06133;0.00899;0.07033;199.1
3;7;0.00341;0.01414;0.01755;1196.3
4;7;0.00456;0.02123;0.02579;1085.5
5;7;0.00507;0.02241;0.02748;1273.8
6;7;0.00678;0.02417;0.03094;1357.2
7;7;0.00662;0.03388;0.04050;1209.8
8;7;0.00775;0.03603;0.04378;1279.0
1;8;0.00219;0.00487;0.00705;1134.1
2;8;0.09709;0.01464;0.11173;143.2
3;8;0.15035;0.27377;0.42412;56.6
4;8;0.11005;0.40417;0.51422;62.2
5;8;0.10473;0.67689;0.78161;51.2
6;8;0.14283;0.89349;1.03632;46.3
7;8;0.11637;0.97656;1.09293;51.2
8;8;0.14654;1.46075;1.60729;39.8
1;9;0.04002;0.00611;0.04612;195.1
2;9;0.18147;0.33150;0.51297;35.1
3;9;0.07692;0.72253;0.79945;33.8
4;9;0.25069;0.52175;0.77244;46.6
5;9;0.72937;0.71345;1.44281;31.2
6;9;0.09312;0.89720;0.99032;54.5
7;9;0.07412;1.49820;1.57233;40.1
8;9;0.09679;0.90182;0.99861;72.1
1;10;0.01645;0.00784;0.02428;411.8
2;10;0.07185;0.06890;0.14076;142.1
3;10;0.09395;0.21232;0.30628;98.0
4;10;0.10656;0.42321;0.52977;75.5
5;10;0.10546;0.64002;0.74548;67.1
6;10;0.11887;0.74197;0.86084;69.7
7;10;0.12646;0.97283;1.09928;63.7
